===== BCER (31) =====
ENCHeatGalConBustedStart | TITLE: 'Busted' | DESC: "They haul you before a Galilean Confederacy tribunal for judgement, leaving your ship and gear behind.\n\nAt the hearing, you can beg for just a fine- $15,000 payable in full or installments- or it's off to Port Mojave Brig for a year or three of hard labor."
ENCHeatGalConFineEnd | TITLE: 'Plead for a fine (Lump Sum)' | DESC: "It's almost like they want you to break the rules so they can extract more fines from you.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 fine added."
ENCHeatGalConFineDebtEnd | TITLE: 'Plead for a fine (Paid in installments)' | DESC: "It's almost like they want you to break the rules so they can lock you deeper in interest payments.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 debt added, with payment due each shift."
ENCHeatGalConFineFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Galilean Confederacy Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
ENCHeatGalConPrisonStart | TITLE: 'Off to Port Mojave Brig' | DESC: 'You are hauled off to Port Mojave Brig.'
ENCHeatGalConPrisonEnd | TITLE: 'Serve Hard Time' | DESC: "You spend months laboring without wage among outcasts both meek and dangerous. You share a dorm with nearly a hundred other souls, all of you stacked like kindling on triple high bunks.\n\nBut even a hell like this is not without opportunity. You hear things. You meet people. You get in a few scrapes, you find a few friends. By the end of your term you've lived a dozen lives and you have all the scars to prove it.\n\nPlus, free room and board. In a certain light, it might all be worth it ...\n\n"
ENCHeatGalConPrisonFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Galilean Confederacy Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
PLGAICrimeGalConLEOArrest | TITLE: 'GalCon LEO Begins Arresting Criminal' | DESC: '"Suspect spotted," [us] [says], looking at [them].'
PLGAICrimeGalConLEOInterruptSelf | TITLE: 'GalCon LEO Is Interrupted by Crime' | DESC: 'Interrupt them.'
PLGAICrimeGalConLEOArrestDo | TITLE: 'Arresting Criminal' | DESC: '"Stop right there! You\'re under arrest!" [us] [shouts] at [them].'
PLGAICrimeGalConLEOArrestDoAllow | TITLE: 'Surrender to Officer' | DESC: '[us] [goes] along peacefully with [them].'
PLGAICrimeGalConLEOArrestDoDeny | TITLE: 'Plead Innocence' | DESC: '[us] [tells] [them] [them-subj] [has] the wrong person.'
PLGAICrimeGalConLEOArrestEnd | TITLE: 'GalCon LEO Done Arresting Criminal' | DESC: '"Another win for the law," [us] [says].'
PLGAICrimeGalConLEOArrestEndAI | TITLE: 'Getting Arrested' | DESC: 'Shim interaction to test us = AI character before continuing.'
PLGAICrimeGalConLEOArrestEndPlayer | TITLE: 'Criminal Arrested (Player)' | DESC: 'LEO finishes subduing Player threat.'
PLGAICrimeGalConLEOThreat | TITLE: 'GalCon LEO Attacking Criminal' | DESC: '"Hey, it\'s that criminal! Get \'em!" [us-shouts] [us], pointing towards [them].'
PLGAICrimeGalConLEOArrestStolenShip | TITLE: 'GalCon LEO Begins Arresting Criminal for Stealing a Ship' | DESC: '"You\'ve been reported as flying a stolen ship," [us] [says], looking at [them]."We\'re bringing you in."'
PLGAIReportCrimeGalConArrest | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeGalConArrestAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeGalConArrestDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeGalConTrespass | TITLE: 'Report Crime' | DESC: '[us] [says] "Get out of here," then speaks into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeGalConTrespassAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeGalConTrespassDeny | TITLE: 'Report Crime: Fail' | DESC: '[us] [fails] to report a crime on [them].'
PLGAIReportCrimeGalConTrespassDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeGalConTrespassNPCDone | TITLE: 'Cancel Reporting Crime' | DESC: '[us] [is] no longer going to report crime.'
PLGAIReportCrimeGalConThreat | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeGalConThreatAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeGalConThreatDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PSPAIAICrimeGalConLEOArrestAdd | TITLE: 'Adds GalCon LEO Arrest pledge to us' | DESC: '[us] [gains] GalCon LEO Arrest pledge.'
PSPAIAICrimeGalConLEOArrestStolenShipAdd | TITLE: 'Adds GalCon LEO Arrest pledge to us because the player stole a ship.' | DESC: '[us] [gains] GalCon LEO Arrest for Stolen Ship pledge.'
PSPAIAICrimeGalConLEOThreatAdd | TITLE: 'Adds GalCon LEO Threat pledge to us' | DESC: '[us] [gains] GalCon LEO Threat pledge.'

===== EJDR (31) =====
ENCHeatEJDRBustedStart | TITLE: 'Busted' | DESC: "They haul you before a Chinese magistrate for judgement, leaving your ship and gear behind.\n\nAt the hearing, you can beg for just a fine- $15,000 payable in full or installments- or it's off to Jade Rabbit Brig for a year or three of hard labor."
ENCHeatEJDRFineEnd | TITLE: 'Plead for a fine (Lump Sum)' | DESC: "It's almost like they want you to break the rules so they can extract more fines from you.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 fine added."
ENCHeatEJDRFineDebtEnd | TITLE: 'Plead for a fine (Paid in installments)' | DESC: "It's almost like they want you to break the rules so they can lock you deeper in interest payments.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 debt added, with payment due each shift."
ENCHeatEJDRFineFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Jade Rabbit Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
ENCHeatEJDRPrisonStart | TITLE: 'Off to Jade Rabbit Brig' | DESC: 'You are hauled off to Jade Rabbit Brig.'
ENCHeatEJDRPrisonEnd | TITLE: 'Serve Hard Time' | DESC: "You spend months laboring without wage among outcasts both meek and dangerous. You share a dorm with nearly a hundred other souls, all of you stacked like kindling on triple high bunks.\n\nBut even a hell like this is not without opportunity. You hear things. You meet people. You get in a few scrapes, you find a few friends. By the end of your term you've lived a dozen lives and you have all the scars to prove it.\n\nPlus, free room and board. In a certain light, it might all be worth it ...\n\n"
ENCHeatEJDRPrisonFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Jade Rabbit Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
PLGAICrimeEJDRLEOArrest | TITLE: 'EJDR LEO Begins Arresting Criminal' | DESC: '"Suspect spotted," [us] [says], looking at [them].'
PLGAICrimeEJDRLEOInterruptSelf | TITLE: 'EJDR LEO Is Interrupted by Crime' | DESC: 'Interrupt them.'
PLGAICrimeEJDRLEOArrestDo | TITLE: 'Arresting Criminal' | DESC: '"Stop right there! You\'re under arrest!" [us] [shouts] at [them].'
PLGAICrimeEJDRLEOArrestDoAllow | TITLE: 'Surrender to Officer' | DESC: '[us] [goes] along peacefully with [them].'
PLGAICrimeEJDRLEOArrestDoDeny | TITLE: 'Plead Innocence' | DESC: '[us] [tells] [them] [them-subj] [has] the wrong person.'
PLGAICrimeEJDRLEOArrestEnd | TITLE: 'EJDR LEO Done Arresting Criminal' | DESC: '"Another win for the law," [us] [says].'
PLGAICrimeEJDRLEOArrestEndAI | TITLE: 'Getting Arrested' | DESC: 'Shim interaction to test us = AI character before continuing.'
PLGAICrimeEJDRLEOArrestEndPlayer | TITLE: 'Criminal Arrested (Player)' | DESC: 'LEO finishes subduing Player threat.'
PLGAICrimeEJDRLEOThreat | TITLE: 'EJDR LEO Attacking Criminal' | DESC: '"Hey, it\'s that criminal! Get \'em!" [us-shouts] [us], pointing towards [them].'
PLGAICrimeEJDRLEOArrestStolenShip | TITLE: 'EJDR LEO Begins Arresting Criminal for Stealing a Ship' | DESC: '"You\'ve been reported as flying a stolen ship," [us] [says], looking at [them]."We\'re bringing you in."'
PLGAIReportCrimeEJDRArrest | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeEJDRArrestAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeEJDRArrestDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeEJDRTrespass | TITLE: 'Report Crime' | DESC: '[us] [says] "Get out of here," then speaks into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeEJDRTrespassAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeEJDRTrespassDeny | TITLE: 'Report Crime: Fail' | DESC: '[us] [fails] to report a crime on [them].'
PLGAIReportCrimeEJDRTrespassDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeEJDRTrespassNPCDone | TITLE: 'Cancel Reporting Crime' | DESC: '[us] [is] no longer going to report crime.'
PLGAIReportCrimeEJDRThreat | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeEJDRThreatAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeEJDRThreatDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PSPAIAICrimeEJDRLEOArrestAdd | TITLE: 'Adds EJDR LEO Arrest pledge to us' | DESC: '[us] [gains] EJDR LEO Arrest pledge.'
PSPAIAICrimeEJDRLEOArrestStolenShipAdd | TITLE: 'Adds EJDR LEO Arrest pledge to us because the player stole a ship.' | DESC: '[us] [gains] EJDR LEO Arrest for Stolen Ship pledge.'
PSPAIAICrimeEJDRLEOThreatAdd | TITLE: 'Adds EJDR LEO Threat pledge to us' | DESC: '[us] [gains] EJDR LEO Threat pledge.'

===== HQCH (31) =====
ENCHeatHQCHBustedStart | TITLE: 'Busted' | DESC: "They haul you before a Xinhua magistrate for judgement, leaving your ship and gear behind.\n\nAt the hearing, you can beg for just a fine- $15,000 payable in full or installments- or it's off to Qincheng Holding Cell for a year or three of hard labor."
ENCHeatHQCHFineEnd | TITLE: 'Plead for a fine (Lump Sum)' | DESC: "It's almost like they want you to break the rules so they can extract more fines from you.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 fine added."
ENCHeatHQCHFineDebtEnd | TITLE: 'Plead for a fine (Paid in installments)' | DESC: "It's almost like they want you to break the rules so they can lock you deeper in interest payments.\n\nYou sign reams of paperwork in tight cuffs.\n\nIt's a prison sentence of another sort. Another weight hanging around your neck.\n\nNew $15,000 debt added, with payment due each shift."
ENCHeatHQCHFineFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Qincheng Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
ENCHeatHQCHPrisonStart | TITLE: 'Off to Qincheng Holding Cell' | DESC: 'You are hauled off to Qincheng Holding Cell.'
ENCHeatHQCHPrisonEnd | TITLE: 'Serve Hard Time' | DESC: "You spend months laboring without wage among outcasts both meek and dangerous. You share a dorm with nearly a hundred other souls, all of you stacked like kindling on triple high bunks.\n\nBut even a hell like this is not without opportunity. You hear things. You meet people. You get in a few scrapes, you find a few friends. By the end of your term you've lived a dozen lives and you have all the scars to prove it.\n\nPlus, free room and board. In a certain light, it might all be worth it ...\n\n"
ENCHeatHQCHPrisonFinish | TITLE: 'Continue' | DESC: "After processing, you are unceremoniously dumped outside the Qincheng Security Office. If you weren't docked at station when you were arrested, you may need to use the PASS ferry service (on your PDA) to reach your ship again. Hopefully it's still there.\n\nTime to get back on your feet."
PLGAICrimeHQCHLEOArrest | TITLE: 'HQCH LEO Begins Arresting Criminal' | DESC: '"Suspect spotted," [us] [says], looking at [them].'
PLGAICrimeHQCHLEOInterruptSelf | TITLE: 'HQCH LEO Is Interrupted by Crime' | DESC: 'Interrupt them.'
PLGAICrimeHQCHLEOArrestDo | TITLE: 'Arresting Criminal' | DESC: '"Stop right there! You\'re under arrest!" [us] [shouts] at [them].'
PLGAICrimeHQCHLEOArrestDoAllow | TITLE: 'Surrender to Officer' | DESC: '[us] [goes] along peacefully with [them].'
PLGAICrimeHQCHLEOArrestDoDeny | TITLE: 'Plead Innocence' | DESC: '[us] [tells] [them] [them-subj] [has] the wrong person.'
PLGAICrimeHQCHLEOArrestEnd | TITLE: 'HQCH LEO Done Arresting Criminal' | DESC: '"Another win for the law," [us] [says].'
PLGAICrimeHQCHLEOArrestEndAI | TITLE: 'Getting Arrested' | DESC: 'Shim interaction to test us = AI character before continuing.'
PLGAICrimeHQCHLEOArrestEndPlayer | TITLE: 'Criminal Arrested (Player)' | DESC: 'LEO finishes subduing Player threat.'
PLGAICrimeHQCHLEOThreat | TITLE: 'HQCH LEO Attacking Criminal' | DESC: '"Hey, it\'s that criminal! Get \'em!" [us-shouts] [us], pointing towards [them].'
PLGAICrimeHQCHLEOArrestStolenShip | TITLE: 'HQCH LEO Begins Arresting Criminal for Stealing a Ship' | DESC: '"You\'ve been reported as flying a stolen ship," [us] [says], looking at [them]."We\'re bringing you in."'
PLGAIReportCrimeHQCHArrest | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeHQCHArrestAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeHQCHArrestDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeHQCHTrespass | TITLE: 'Report Crime' | DESC: '[us] [says] "Get out of here," then speaks into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeHQCHTrespassAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeHQCHTrespassDeny | TITLE: 'Report Crime: Fail' | DESC: '[us] [fails] to report a crime on [them].'
PLGAIReportCrimeHQCHTrespassDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PLGAIReportCrimeHQCHTrespassNPCDone | TITLE: 'Cancel Reporting Crime' | DESC: '[us] [is] no longer going to report crime.'
PLGAIReportCrimeHQCHThreat | TITLE: 'Report Crime' | DESC: '[us] [speaks] into [us-pos] PDA, looking at [them].'
PLGAIReportCrimeHQCHThreatAllow | TITLE: 'Report Crime: Succeed' | DESC: '[us] successfully [reports] a crime on [them].'
PLGAIReportCrimeHQCHThreatDone | TITLE: 'Done Reporting Crime' | DESC: '[us] [is] done reporting crime.'
PSPAIAICrimeHQCHLEOArrestAdd | TITLE: 'Adds HQCH LEO Arrest pledge to us' | DESC: '[us] [gains] HQCH LEO Arrest pledge.'
